order_number,record_type,order_type,borough,on_street,from_street,side_of_street,order_completed_on_date,sign_code,sign_description,sign_size,sign_location,distance_from_intersection,arrow_direction,sheeting_type,support,to_street,facing_direction,sign_notes,sign_design_voided_on_date,on_street_suffix,from_street_suffix,to_street_suffix,geometry
R-01673596,Historical,R-,Queens,MASPETH AVENUE,MAURICE AVENUE,@,2023-10-04T00:00:00.000,SI-144G,LOCAL W/ 3 O'CLOCK ARROW,036 X 012,N/W C,0,,TIII,SAME,,North,UNDER SI-147G,,,,,POINT (1008484 202835)
S-01661861,Current,S-,Brooklyn,GOLD STREET,MYRTLE AVENUE,W,2023-10-27T00:00:00.000,PS-123B,NO PARKING (SANITATION BROOM SYMBOL) MOON & STARS (SYMBOLS) MONDAY WEDNESDAY FRIDAY MIDNIGHT-3AM <-> (SUPERSEDES SP-702C),018 X 012,,347,,PNTD,SAME,WILLOUGHBY STREET,,,,,,,POINT (988842 191622)
C-01672396,Current,C-,Bronx,BRONX PARK AVENUE,LEBANON STREET,@,2023-10-04T00:00:00.000,W6-3,TWO WAY TRAFFIC (SYMBOL),030 X 030,N/E C,0,,TIII,SAME,,West,,,,,,POINT (1018862 245658)
S-01675458,Current,S-,Brooklyn,OCEAN AVENUE,AVENUE V,E,2023-10-19T00:00:00.000,PS-31B,NO PARKING (SANITATION BROOM SYMBOL) FRIDAY 8:30AM-10AM <-> (SUPERSEDES SP-464C),018 X 012,,479,,PNTD,DR,AVENUE U,,,,,,,POINT EMPTY
P-01416286,Historical,P-,Queens,62 STREET,WOODSIDE AVENUE,W,2020-11-06T00:00:00.000,PS-15GA,NO PARKING MONDAY-FRIDAY 8AM-6PM --> (SUPERSEDES R7-45RA),018 X 012,,217,South,PNTD,DR,43 AVENUE,,,,,,,POINT (1011258 210326)
R-01530767,Historical,R-,Bronx,EAST  183 STREET,WALTON AVENUE,N,2021-06-08T00:00:00.000,BL,BUILDING LINE,N/A,,12,,,,JEROME AVENUE,,,,,,,POINT EMPTY
R-01533078,Historical,R-,Bronx,BURKE AVENUE,WHITE PLAINS ROAD,S,2021-06-17T00:00:00.000,BL,BUILDING LINE,N/A,,20,,,,CRUGER AVENUE,,,,,,,POINT EMPTY
R-01671786,Historical,R-,Manhattan,AUDUBON AVENUE,WEST  190 STREET,W,2023-10-19T00:00:00.000,PS-40B,NO PARKING (SANITATION BROOM SYMBOL) THURSDAY 11:30AM-1PM <-> (SUPERSEDES SP-463C),018 X 012,,165,,PNTD,DR,WEST  189 STREET,,,,,,,POINT (1004017 250393)
P-01631356,Historical,P-,Queens,JERICHO TURNPIKE,250 STREET,N,2023-04-10T00:00:00.000,SI-584G,14 STREET & UNION SQ (BOTTOM LOCATION PANEL)(USE AS EXAMPLE FOR DIFFERENT LOCATION),016 X 008,,85,,ENGG,SAME,249 STREET,,JERICHO TPK & 250 ST,,,,,POINT (1063145 204166)
R-01676848,Historical,R-,Queens,68 DRIVE,110 STREET,@,2023-10-24T00:00:00.000,W3-1,STOP AHEAD (SYMBOL),030 X 030,E SSD,165,,ENGG,DR,,East,,,,,,POINT (1027760 203973)
ST01598038,Historical,ST,Queens,ATLANTIC AVENUE,76 STREET,@,2022-08-12T00:00:00.000,SI-XG,"24"" STREET NAME SIGN (PROPER NAME TO BE SPECIFIED)",024 X 009,*NOTE,0,,TIII,SAME,,,76 ST,,,,,POINT EMPTY
R-01675860,Historical,R-,Staten Island,FOREST HILL ROAD,UXBRIDGE STREET,@,2023-10-18T00:00:00.000,R5-1,DO NOT ENTER (SYMBOL),030 X 030,N/E C,0,,TIII,SAME,,West,,,,,,POINT (945300 158712)
R-01672837,Historical,R-,Manhattan,PINE STREET,WILLIAM STREET,S,2023-10-18T00:00:00.000,PS-45DA,STAR (SYMBOL) AVO NATIONAL PARK SERVICE MONDAY-FRIDAY 7AM-7PM --> (SUPERSEDES PS-104EA),018 X 024,,275,East,PNTD,LP,NASSAU STREET,,,,,,,POINT (981530 197008)
R-799833,Historical,R-,Manhattan,EAST   81 STREET,FIRST AVENUE,S,2009-10-13T00:00:00.000,CL,CURB LINE,N/A,,0,,,,SECOND AVENUE,,,,,,,POINT EMPTY
S-180198,Historical,S-,Queens,LINDEN BOULEVARD,204 STREET,S,2006-04-29T00:00:00.000,CL,CURB LINE,N/A,,0,,,,205 STREET,,,,,,,POINT EMPTY
R-01321397,Historical,R-,Bronx,FEATHERBED LANE,MACOMBS ROAD,N,2018-07-30T00:00:00.000,CL,CURB LINE,N/A,,633,,,,SHAKESPEARE AVENUE,,,,,,,POINT EMPTY
R-01755111,Historical,R-,Queens,HILLSIDE AVENUE,181 STREET,@,2024-09-17T00:00:00.000,R4-6R,KEEP RIGHT SYMBOL (RIGHT REVERSE CURVE ARROW W/MALL TIP),024 X 030,*NOTE,0,,TIII,DR,,West,WEST APEX OF E CML,,,,,POINT (1044745 199168)
R-01672811,Historical,R-,Bronx,CROSS BRONX EXPRESSWAY,FULTON AVENUE,@,2023-10-02T00:00:00.000,W14-7R,HAZARD MARKER (RIGHT) (SUPERSEDES SW-199R),012 X 036,N/E C,18,,TIII,SAME,,West,,,,,,POINT (1012842 246612)
R-01341438,Historical,R-,Manhattan,CENTRAL PARK WEST,WEST   81 STREET,W,2018-11-19T00:00:00.000,SP-477BA,BUS STOP SIGN (BUS & HANDICAP SYMBOLS) NO STANDING W/ SINGLE ARROW,020 DIAMETER,,501,North,PNTD,BUSPOLE,WEST   77 STREET,,404136,,,,,POINT (991799 223743)
S-985705,Historical,S-,Queens,GRASSMERE TERRACE,CORNAGA AVENUE,N,1999-02-27T00:00:00.000,PL,PROPERTY LINE,N/A,,453,,,,OCEANCREST BOULEVARD,,,,,,,POINT EMPTY
R-01674893,Historical,R-,Manhattan,6 AVENUE,WEST HOUSTON STREET,@,2023-10-25T00:00:00.000,SI-184G,TRUCK ROUTE W/ TRUCK SYMBOL,036 X 024,E NSD,54,,TIII,DR,,East,USE 16&#39; DR.,,,,,POINT (983469 204639)
R-772104,Historical,R-,Queens,77 ROAD,VLEIGH PLACE,@,2008-10-24T00:00:00.000,W9-1,SCHOOL CROSSING SYMBOL (ADVANCE WARNING),030 X 030,W SSD,15,,HRFL,DR,,West,,,,,,POINT EMPTY
R-01672949,Historical,R-,Manhattan,WARREN STREET,RIVER TERRACE,@,2023-10-02T00:00:00.000,W3-1,STOP AHEAD (SYMBOL),030 X 030,S ESD,366,,TIII,DR,,South,,,,,,POINT (979879 200743)
R-528920,Historical,R-,Manhattan,PEARL STREET,HANOVER SQUARE,W,1995-03-25T00:00:00.000,CL,CURB LINE,N/A,,346,,,,COENTIES ALLEY,,,,,,,POINT EMPTY
S-908953,Historical,S-,Queens,149 STREET,38 AVENUE,W,1994-01-18T00:00:00.000,CL,CURB LINE,N/A,,0,,,,ROOSEVELT AVENUE,,,,,,,POINT EMPTY
R-01675905,Historical,R-,Staten Island,RICHMOND TERRACE,BAY STREET,N,2023-10-18T00:00:00.000,SW-112L,CHEVRON HAZARD MARKER (LEFT ARROW),018 X 024,,0,,TIII,WP,DEAD END,East,W/P # 27108                                             641' W/OF TYSEN,,,,,POINT (963370 173227)
